Carrier;MeanDelay;Type;Year
EA;8,806449674;Dep;1988
CO;8,472705637;Dep;1988
PI;7,951671835;Dep;1988
PI;8,685993371;Arr;1988
PA (1);8,649983824;Arr;1988
US;8,107849275;Arr;1988
;;;
DL;7,404591174;Dep;1992
US;6,46742256;Dep;1992
CO;6,126918498;Dep;1992
DL;7,485164697;Arr;1992
US;5,992271766;Arr;1992
CO;5,743719547;Arr;1992
;;;
UA;10,23540333;Dep;1995
TW;9,469414289;Dep;1995
DL;9,167545752;Dep;1995
HP;9,153382287;Arr;1995
TW;8,90269531;Arr;1995
AS;8,629476667;Arr;1995
;;;
UA;12,49289605;Dep;1996
TW;12,07877913;Dep;1996
AS;10,90816355;Dep;1996
AS;13,22712043;Arr;1996
HP;13,00908788;Arr;1996
TW;11,76260559;Arr;1996
;;;
HP;13,90927631;Dep;1998
UA;11,72759988;Dep;1998
NW;10,50830019;Dep;1998
HP;15,34850847;Arr;1998
AS;11,45313808;Arr;1998
UA;10,99790905;Arr;1998
;;;
UA;17,60769115;Dep;2000
HP;14,44049719;Dep;2000
AS;12,95164491;Dep;2000
UA;18,47959195;Arr;2000
HP;14,93811795;Arr;2000
AS;12,82144618;Arr;2000
;;;
UA;11,03689435;Dep;2001
AS;10,97131893;Dep;2001
MQ;10,4488741;Dep;2001
AS;11,7168791;Arr;2001
UA;8,625530044;Arr;2001
HP;8,324058042;Arr;2001
;;;
WN;8,925029609;Dep;2002
AS;7,352490668;Dep;2002
HP;6,269212934;Dep;2002
DL;5,712299164;Arr;2002
AS;5,404059029;Arr;2002
MQ;4,214754406;Arr;2002
;;;
EV;16,41263703;Dep;2006
YV;14,2488517;Dep;2006
TZ;12,86012903;Dep;2006
TZ;15,77072037;Arr;2006
EV;14,55965829;Arr;2006
YV;11,62714632;Arr;2006
;;;
EV;20,22091925;Dep;2007
B6;14,73905401;Dep;2007
AA;14,72047771;Dep;2007
EV;17,19572911;Arr;2007
AA;14,44186884;Arr;2007
B6;13,43993565;Arr;2007
;;;
UA;16,07201178;Dep;2008
AA;15,75691021;Dep;2008
EV;14,5323256;Dep;2008
AA;16,07303976;Arr;2008
UA;14,3460672;Arr;2008
MQ;13,94031914;Arr;2008
